Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Masculino;38;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Femenino;22;Educación Superior;Varias veces por semana;Una vez por semana;Muy bueno;De 10 a 15 dólares;12 de Marzo;Productos frescos;Productos frescos
Femenino;46;Secundaria;Varias veces por semana;Ocasionalmente;Muy bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;19;Secundaria;Varias veces por semana;Varias veces por semana;Bueno;De 10 a 15 dólares;San Pablo;Productos frescos;Productos frescos
Masculino;26;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;21;Secundaria;Ocasionalmente;Todos los días;Bueno;De 10 a 15 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;20;Educación Superior;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;20;Secundaria;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;30;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Vivo fuera de Portoviejo;Bebidas;Productos frescos
Masculino;22;Educación Superior;Una vez por semana;Varias veces por semana;Muy bueno;De 5 a 10 dólares;Simón Bolívar;Productos frescos;Productos frescos
Femenino;20;Secundaria;Varias veces por semana;Ocasionalmente;Excelente;De 15 a 20 dólares;San Pablo;Bebidas;Productos frescos
Masculino;22;Educación Superior;Varias veces por semana;Varias veces por semana;Excelente;De 10 a 15 dólares;Picoazá;Productos frescos;Productos frescos
Masculino;21;Educación Superior;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Femenino;20;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Masculino;19;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Femenino;26;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;27;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Portoviejo;Productos de aseo;Productos frescos
Femenino;20;Secundaria;Ocasionalmente;Varias veces por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos de aseo
Femenino;28;Secundaria;Varias veces por semana;Todos los días;Bueno;De 5 a 10 dólares;Portoviejo;Productos de aseo;Productos de aseo
Masculino;19;Educación Superior;Varias veces por semana;Ocasionalmente;Muy bueno;De 15 a 20 dólares;Crucita;Productos frescos;Productos frescos
Femenino;25;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;23;Educación Superior;Varias veces por semana;Una vez por semana;Excelente;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;26;Educación Superior;Ocasionalmente;Una vez por semana;Bueno;De 10 a 15 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Femenino;22;Secundaria;Ocasionalmente;Una vez por semana;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Masculino;39;Educación Superior;Varias veces por semana;Una vez por semana;Muy bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;35;Secundaria;Una vez por semana;Todos los días;Muy bueno;De 5 a 10 dólares;Colón;Bebidas;Productos frescos
Masculino;38;Educación Superior;Ocasionalmente;Todos los días;Muy bueno;De 5 a 10 dólares;Colón;Productos frescos;Productos frescos
Femenino;30;Educación Superior;Todos los días;Una vez por semana;Regular;De 5 a 10 dólares;Simón Bolívar;Productos de aseo;Productos frescos
Masculino;42;Educación Superior;Varias veces por semana;Una vez por semana;Excelente;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Masculino;29;Educación Superior;Varias veces por semana;Todos los días;Muy bueno;De 5 a 10 dólares;Crucita;Productos de aseo;Productos frescos
Femenino;62;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 10 a 15 dólares;Abdón Calderón;Productos frescos;Productos frescos
